stars,comment,topic,title
3,"Για τα λεφτα της ειναι τίμια.
Η εικόνα ειναι καλή αμα όμως πας πολυ πλάι δεν βλέπεις σχεδον τιποτα.
Στερεί πολύ σε ήχο.",Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
4,Πολύ καλή για τα λεφτά της ! Υστερεί λίγο σε ήχο !,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
5,Πάρα πολύ καλή σε σχέση ποιότητας με τα χρήματα της!!!!!!,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
1,Μισό αστέρι θα της έβαζα αν μπορούσα χαλιά,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
stars,comment,topic,title
3,"Για τα λεφτα της ειναι τίμια.
Η εικόνα ειναι καλή αμα όμως πας πολυ πλάι δεν βλέπεις σχεδον τιποτα.
Στερεί πολύ σε ήχο.",Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
4,Πολύ καλή για τα λεφτά της ! Υστερεί λίγο σε ήχο !,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
5,Πάρα πολύ καλή σε σχέση ποιότητας με τα χρήματα της!!!!!!,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
1,Μισό αστέρι θα της έβαζα αν μπορούσα χαλιά,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
stars,comment,topic,title
3,"Για τα λεφτα της ειναι τίμια.
Η εικόνα ειναι καλή αμα όμως πας πολυ πλάι δεν βλέπεις σχεδον τιποτα.
Στερεί πολύ σε ήχο.",Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
4,Πολύ καλή για τα λεφτά της ! Υστερεί λίγο σε ήχο !,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
5,Πάρα πολύ καλή σε σχέση ποιότητας με τα χρήματα της!!!!!!,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
1,Μισό αστέρι θα της έβαζα αν μπορούσα χαλιά,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
stars,comment,topic,title
3,"Για τα λεφτα της ειναι τίμια.
Η εικόνα ειναι καλή αμα όμως πας πολυ πλάι δεν βλέπεις σχεδον τιποτα.
Στερεί πολύ σε ήχο.",Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
4,Πολύ καλή για τα λεφτά της ! Υστερεί λίγο σε ήχο !,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
5,Πάρα πολύ καλή σε σχέση ποιότητας με τα χρήματα της!!!!!!,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
1,Μισό αστέρι θα της έβαζα αν μπορούσα χαλιά,Τηλεοράσεις,"IQ 2202T2 Full HD 21.5"""
